"","name","artist","album"
"14","Red House","Jimi Hendrix","Experience Hendrix: The Best Of Jimi Hendrix"
"287","What Would Your Memories Do","George Strait","Strait Out Of The Box"
"291","You Look So Good In Love","George Strait","Strait Out Of The Box"
"294","Let's Fall To Pieces Together","George Strait","Strait Out Of The Box"
"305","Ocean Front Property","George Strait","Strait Out Of The Box"
"310","Famous Last Words Of A Fool","George Strait","Strait Out Of The Box"
"328","Trains Make Me Lonesome","George Strait","Strait Out Of The Box"
"348","Streets Of Laredo","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"354","Tonight Carmen","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"355","You Gave Me A Mountain","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"357","My Woman, My Woman, My Wife","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"363","It's A Sin","Marty Robbins","Marty Robbins' All-Time Greatest Hits"
"371","Half A Man","Willie Nelson","Certified Hits"
"373","Funny How Time Slips Away","Willie Nelson","Certified Hits"
"374","Cold War With You - 2001 - Remastered","Willie Nelson","Certified Hits"
"391","Fluff - Remastered Version","Black Sabbath","Sabbath Bloody Sabbath (Remastered Edition)"
"401","Orchid - Remastered Version","Black Sabbath","Master of Reality (Remastered Edition)"
"403","Solitude - Remastered Version","Black Sabbath","Master of Reality (Remastered Edition)"
"500","Looking For Your Name","Armin van Buuren","Embrace"
