"","name","artist","album"
"33","Walk All over You","AC/DC","Highway to Hell"
"40","Night Prowler","AC/DC","Highway to Hell"
"46","Sabotage - Remastered 2009","Beastie Boys","Ill Communication (Deluxe Version/Remastered)"
"56","Heart Attack Man - Remastered 2009","Beastie Boys","Ill Communication (Deluxe Version/Remastered)"
"62","Resolution Time - Remastered 2009","Beastie Boys","Ill Communication (Deluxe Version/Remastered)"
"67","The Vibes - Remastered 2009","Beastie Boys","Ill Communication (Deluxe Version/Remastered)"
"70","The Maestro - Live At Civic Hall, Wolverhampton, England, 1995/Remastered 2009","Beastie Boys","Ill Communication (Deluxe Version/Remastered)"
"77","My God Is The Sun","Queens of the Stone Age","...Like Clockwork"
"79","Fairweather Friends","Queens of the Stone Age","...Like Clockwork"
"81","I Appear Missing","Queens of the Stone Age","...Like Clockwork"
"87","Head Like a Haunted House","Queens of the Stone Age","Villains"
"91","Villains of Circumstance","Queens of the Stone Age","Villains"
"234","iRobot","Jon Bellion","The Human Condition"
"243","Hungover","Kesha","Animal (Expanded Edition)"
"244","Party At A Rich Dude's House","Kesha","Animal (Expanded Edition)"
"250","Animal","Kesha","Animal (Expanded Edition)"
"261","Overboard","Justin Bieber","My World 2.0"
"405","Rapid Fire","Judas Priest","British Steel"
"412","The Rage","Judas Priest","British Steel"
"413","Steeler","Judas Priest","British Steel"
"414","Red, White & Blue","Judas Priest","British Steel"
"415","Grinder - Live","Judas Priest","British Steel"
"417","Primal Concrete Sledge","Pantera","Cowboys From Hell"
"444","Bullet In The Head","Rage Against The Machine","Rage Against The Machine - XX (20th Anniversary Special Edition)"
"453","Revolver","Rage Against The Machine","Evil Empire"
"455","Tire Me","Rage Against The Machine","Evil Empire"
"458","Wind Below","Rage Against The Machine","Evil Empire"
"461","Never Again","Killswitch Engage","Killswitch Engage [Special Edition]"
"462","Starting Over","Killswitch Engage","Killswitch Engage [Special Edition]"
"463","The Forgotten","Killswitch Engage","Killswitch Engage [Special Edition]"
"465","The Return","Killswitch Engage","Killswitch Engage [Special Edition]"
"467","Take Me Away","Killswitch Engage","Killswitch Engage [Special Edition]"
"468","I Would Do Anything","Killswitch Engage","Killswitch Engage [Special Edition]"
"469","Save Me","Killswitch Engage","Killswitch Engage [Special Edition]"
"471","This Is Goodbye","Killswitch Engage","Killswitch Engage [Special Edition]"
"472","In A Dead World","Killswitch Engage","Killswitch Engage [Special Edition]"
"473","Rose of Sharyn [Live]","Killswitch Engage","Killswitch Engage [Special Edition]"
"474","My Curse [Live]","Killswitch Engage","Killswitch Engage [Special Edition]"
"475","Holy Diver [Live]","Killswitch Engage","Killswitch Engage [Special Edition]"
"486","Embrace","Armin van Buuren","Embrace"
"490","Face Of Summer","Armin van Buuren","Embrace"
"496","Freefall","Armin van Buuren","Embrace"
"501","Needed You","ILLENIUM","Awake"
"507","Leaving","ILLENIUM","Awake"
"509","Sound of Walking Away","ILLENIUM","Awake"
"520","Hear The Bells","Porter Robinson","Worlds"
"524","Fellow Feeling","Porter Robinson","Worlds"
"527","Now Hear This","Dillon Francis","Something Something Awesome EP"
"530","Gold Dust","Galantis","Pharmacy"
"540","You","Galantis","Pharmacy"
"541","Water","Galantis","Pharmacy"
"542","Now Or Never - Original Mix","Tritonal","Tritonia - Chapter 001"
"543","Move Into Light - Husman vs Original Mix","Juventa","Tritonia - Chapter 001"
"545","Amazing - Original Mix","Suspect 44","Tritonia - Chapter 001"
"546","Shoesham - Original Mix","Estiva","Tritonia - Chapter 001"
"547","Satellite - Instrumental Mix","Tritonal","Tritonia - Chapter 001"
"549","Electric Glow - Original Mix","Tritonal","Tritonia - Chapter 001"
"550","Two To One - Jaco Vocal Mix","Adam Szabo","Tritonia - Chapter 001"
"552","Collide - Original Mix","Tritonal","Tritonia - Chapter 001"
"554","Ride Of Your Life - Original Mix","APD","Tritonia - Chapter 001"
"555","Boxmeister - Original Mix","Estiva","Tritonia - Chapter 001"
"556","Adrenaline - Original Mix","Lush & Simon","Tritonia - Chapter 001"
"557","Xperience - Original Mix","Juventa","Tritonia - Chapter 001"
"559","Won't Let You Go - Tritonal Remix","Armin van Buuren","Tritonia - Chapter 001"
"561","Now Or Never - Tritonal Club Mix","Tritonal","Tritonia - Chapter 001"
"562","Bullet That Saved Me - Festival Mix","Tritonal","Tritonia - Chapter 001"
