"","name","artist","album"
"16","Freedom","Jimi Hendrix","Experience Hendrix: The Best Of Jimi Hendrix"
"21","Hells Bells","AC/DC","Back In Black"
"31","Highway to Hell","AC/DC","Highway to Hell"
"32","Girls Got Rhythm","AC/DC","Highway to Hell"
"35","Beating Around the Bush","AC/DC","Highway to Hell"
"46","Sabotage - Remastered 2009","Beastie Boys","Ill Communication (Deluxe Version/Remastered)"
"59","Bodhisattva Vow - Remastered 2009","Beastie Boys","Ill Communication (Deluxe Version/Remastered)"
"75","The Vampyre of Time And Memory","Queens of the Stone Age","...Like Clockwork"
"77","My God Is The Sun","Queens of the Stone Age","...Like Clockwork"
"81","I Appear Missing","Queens of the Stone Age","...Like Clockwork"
"86","Fortress","Queens of the Stone Age","Villains"
"88","Un-Reborn Again","Queens of the Stone Age","Villains"
"91","Villains of Circumstance","Queens of the Stone Age","Villains"
"175","Hell Of A Night","ScHoolboy Q","Oxymoron (Deluxe)"
"176","Break The Bank","ScHoolboy Q","Oxymoron (Deluxe)"
"194","Dangerous Woman","Ariana Grande","Dangerous Woman"
"201","Everyday","Ariana Grande","Dangerous Woman"
"205","Touch It","Ariana Grande","Dangerous Woman"
"226","New York Soul - Pt. ii","Jon Bellion","The Human Condition"
"232","The Good In Me","Jon Bellion","The Human Condition"
"243","Hungover","Kesha","Animal (Expanded Edition)"
"253","TiK ToK - Wolfedelic Club Mix","Kesha","Animal (Expanded Edition)"
"254","TiK ToK - Fred Falke Club Remix","Kesha","Animal (Expanded Edition)"
"271","Talking to the Moon","Bruno Mars","Doo-Wops & Hooligans"
"274","The Other Side (feat. CeeLo Green and B.o.B) - EP Version","Bruno Mars","Doo-Wops & Hooligans"
"389","Sabbath Bloody Sabbath - Remastered Version","Black Sabbath","Sabbath Bloody Sabbath (Remastered Edition)"
"393","Killing Yourself to Live - Remastered Version","Black Sabbath","Sabbath Bloody Sabbath (Remastered Edition)"
"406","Metal Gods","Judas Priest","British Steel"
"412","The Rage","Judas Priest","British Steel"
"418","Psycho Holiday","Pantera","Cowboys From Hell"
"424","Medicine Man","Pantera","Cowboys From Hell"
"426","The Sleep","Pantera","Cowboys From Hell"
"434","Through The Never","Metallica","Metallica"
"438","My Friend Of Misery","Metallica","Metallica"
"443","Settle For Nothing","Rage Against The Machine","Rage Against The Machine - XX (20th Anniversary Special Edition)"
"447","Fistful Of Steel","Rage Against The Machine","Rage Against The Machine - XX (20th Anniversary Special Edition)"
"457","Without a Face","Rage Against The Machine","Evil Empire"
"460","Year of tha Boomerang","Rage Against The Machine","Evil Empire"
"463","The Forgotten","Killswitch Engage","Killswitch Engage [Special Edition]"
"465","The Return","Killswitch Engage","Killswitch Engage [Special Edition]"
"467","Take Me Away","Killswitch Engage","Killswitch Engage [Special Edition]"
"469","Save Me","Killswitch Engage","Killswitch Engage [Special Edition]"
"470","Lost","Killswitch Engage","Killswitch Engage [Special Edition]"
"471","This Is Goodbye","Killswitch Engage","Killswitch Engage [Special Edition]"
"474","My Curse [Live]","Killswitch Engage","Killswitch Engage [Special Edition]"
"478","Spectrum","Zedd","Clarity"
"484","Follow You Down","Zedd","Clarity"
"486","Embrace","Armin van Buuren","Embrace"
"487","Another You","Armin van Buuren","Embrace"
"490","Face Of Summer","Armin van Buuren","Embrace"
"491","Heading Up High","Armin van Buuren","Embrace"
"492","Gotta Be Love","Armin van Buuren","Embrace"
"494","Caught In The Slipstream","Armin van Buuren","Embrace"
"497","Indestructible","Armin van Buuren","Embrace"
"501","Needed You","ILLENIUM","Awake"
"512","Beautiful Creatures (feat. MAX)","ILLENIUM","Awake"
"515","Sad Machine","Porter Robinson","Worlds"
"519","Polygon Dust","Porter Robinson","Worlds"
"524","Fellow Feeling","Porter Robinson","Worlds"
"528","Dill the Noise","Dillon Francis","Something Something Awesome EP"
"534","Louder, Harder, Better","Galantis","Pharmacy"
"535","Kill 'Em with the Love","Galantis","Pharmacy"
"540","You","Galantis","Pharmacy"
"541","Water","Galantis","Pharmacy"
"542","Now Or Never - Original Mix","Tritonal","Tritonia - Chapter 001"
"545","Amazing - Original Mix","Suspect 44","Tritonia - Chapter 001"
"547","Satellite - Instrumental Mix","Tritonal","Tritonia - Chapter 001"
"549","Electric Glow - Original Mix","Tritonal","Tritonia - Chapter 001"
"552","Collide - Original Mix","Tritonal","Tritonia - Chapter 001"
"555","Boxmeister - Original Mix","Estiva","Tritonia - Chapter 001"
"559","Won't Let You Go - Tritonal Remix","Armin van Buuren","Tritonia - Chapter 001"
"563","Reason To Believe - Fractal Remix","Aruna","Tritonia - Chapter 001"
