"","name","artist","album"
"30","Rock and Roll Ain't Noise Pollution","AC/DC","Back In Black"
"31","Highway to Hell","AC/DC","Highway to Hell"
"74","I Sat By The Ocean","Queens of the Stone Age","...Like Clockwork"
"75","The Vampyre of Time And Memory","Queens of the Stone Age","...Like Clockwork"
"85","Domesticated Animals","Queens of the Stone Age","Villains"
"128","UMI Says","Mos Def","Black On Both Sides"
"154","T-Shirt","Migos","Culture"
"156","Bad and Boujee (feat. Lil Uzi Vert)","Migos","Culture"
"158","Slippery (feat. Gucci Mane)","Migos","Culture"
"159","Big On Big","Migos","Culture"
"160","What The Price","Migos","Culture"
"161","Brown Paper Bag","Migos","Culture"
"162","Deadz (feat. 2 Chainz)","Migos","Culture"
"163","All Ass","Migos","Culture"
"164","Kelly Price (feat. Travis Scott)","Migos","Culture"
"168","Collard Greens","ScHoolboy Q","Oxymoron (Deluxe)"
"175","Hell Of A Night","ScHoolboy Q","Oxymoron (Deluxe)"
"176","Break The Bank","ScHoolboy Q","Oxymoron (Deluxe)"
"177","Man Of The Year","ScHoolboy Q","Oxymoron (Deluxe)"
"180","Fuck LA","ScHoolboy Q","Oxymoron (Deluxe)"
"182","needy","Ariana Grande","thank u, next"
"184","bloodline","Ariana Grande","thank u, next"
"186","bad idea","Ariana Grande","thank u, next"
"189","in my head","Ariana Grande","thank u, next"
"191","thank u, next","Ariana Grande","thank u, next"
"192","break up with your girlfriend, i'm bored","Ariana Grande","thank u, next"
"195","Be Alright","Ariana Grande","Dangerous Woman"
"196","Into You","Ariana Grande","Dangerous Woman"
"197","Side To Side","Ariana Grande","Dangerous Woman"
"201","Everyday","Ariana Grande","Dangerous Woman"
"204","Bad Decisions","Ariana Grande","Dangerous Woman"
"205","Touch It","Ariana Grande","Dangerous Woman"
"206","Knew Better / Forever Boy","Ariana Grande","Dangerous Woman"
"208","American Teen","Khalid","American Teen"
"209","Young Dumb & Broke","Khalid","American Teen"
"211","Another Sad Love Song","Khalid","American Teen"
"214","8TEEN","Khalid","American Teen"
"215","Let's Go","Khalid","American Teen"
"216","Hopeless","Khalid","American Teen"
"218","Winter","Khalid","American Teen"
"219","Therapy","Khalid","American Teen"
"220","Keep Me","Khalid","American Teen"
"221","Shot Down","Khalid","American Teen"
"224","80's Films","Jon Bellion","The Human Condition"
"229","Woke The F*ck Up","Jon Bellion","The Human Condition"
"233","Morning In America","Jon Bellion","The Human Condition"
"235","Guillotine","Jon Bellion","The Human Condition"
"236","Hand Of God - Outro","Jon Bellion","The Human Condition"
"237","Your Love Is My Drug","Kesha","Animal (Expanded Edition)"
"238","TiK ToK","Kesha","Animal (Expanded Edition)"
"239","Take It Off","Kesha","Animal (Expanded Edition)"
"251","VIP","Kesha","Animal (Expanded Edition)"
"254","TiK ToK - Fred Falke Club Remix","Kesha","Animal (Expanded Edition)"
"255","Baby","Justin Bieber","My World 2.0"
"256","Somebody To Love","Justin Bieber","My World 2.0"
"257","Stuck In The Moment","Justin Bieber","My World 2.0"
"259","Runaway Love","Justin Bieber","My World 2.0"
"263","Up","Justin Bieber","My World 2.0"
"265","Grenade","Bruno Mars","Doo-Wops & Hooligans"
"266","Just the Way You Are","Bruno Mars","Doo-Wops & Hooligans"
"268","Runaway Baby","Bruno Mars","Doo-Wops & Hooligans"
"269","The Lazy Song","Bruno Mars","Doo-Wops & Hooligans"
"270","Marry You","Bruno Mars","Doo-Wops & Hooligans"
"271","Talking to the Moon","Bruno Mars","Doo-Wops & Hooligans"
"274","The Other Side (feat. CeeLo Green and B.o.B) - EP Version","Bruno Mars","Doo-Wops & Hooligans"
"345","Check Yes Or No","George Strait","Strait Out Of The Box"
"409","United","Judas Priest","British Steel"
"411","Living After Midnight","Judas Priest","British Steel"
"428","Enter Sandman","Metallica","Metallica"
"429","Sad But True","Metallica","Metallica"
"452","Vietnow","Rage Against The Machine","Evil Empire"
"478","Spectrum","Zedd","Clarity"
"484","Follow You Down","Zedd","Clarity"
"487","Another You","Armin van Buuren","Embrace"
"497","Indestructible","Armin van Buuren","Embrace"
"508","Lost","ILLENIUM","Awake"
"512","Beautiful Creatures (feat. MAX)","ILLENIUM","Awake"
"515","Sad Machine","Porter Robinson","Worlds"
"529","Forever Tonight","Galantis","Pharmacy"
"532","Runaway (U & I)","Galantis","Pharmacy"
"535","Kill 'Em with the Love","Galantis","Pharmacy"
"537","Peanut Butter Jelly","Galantis","Pharmacy"
