"","name","artist","album"
"47","Get It Together - Remastered 2009","Beastie Boys","Ill Communication (Deluxe Version/Remastered)"
"113","C.R.E.A.M.","Wu-Tang Clan","Enter The Wu-Tang (36 Chambers) [Expanded Edition]"
"126","Do It Now","Mos Def","Black On Both Sides"
"129","New World Water","Mos Def","Black On Both Sides"
"134","Habitat","Mos Def","Black On Both Sides"
"135","Mr. Nigga","Mos Def","Black On Both Sides"
"139","Two Dope Boyz (In a Cadillac)","OutKast","ATLiens"
"140","ATLiens","OutKast","ATLiens"
"141","Wheelz of Steel","OutKast","ATLiens"
"142","Jazzy Belle","OutKast","ATLiens"
"149","Millennium","OutKast","ATLiens"
"153","Culture (feat. DJ Khaled)","Migos","Culture"
"154","T-Shirt","Migos","Culture"
"156","Bad and Boujee (feat. Lil Uzi Vert)","Migos","Culture"
"157","Get Right Witcha","Migos","Culture"
"158","Slippery (feat. Gucci Mane)","Migos","Culture"
"161","Brown Paper Bag","Migos","Culture"
"162","Deadz (feat. 2 Chainz)","Migos","Culture"
"163","All Ass","Migos","Culture"
"168","Collard Greens","ScHoolboy Q","Oxymoron (Deluxe)"
"169","What They Want","ScHoolboy Q","Oxymoron (Deluxe)"
"171","Studio","ScHoolboy Q","Oxymoron (Deluxe)"
"172","Prescription/Oxymoron","ScHoolboy Q","Oxymoron (Deluxe)"
"173","The Purge","ScHoolboy Q","Oxymoron (Deluxe)"
"174","Blind Threats","ScHoolboy Q","Oxymoron (Deluxe)"
"179","Grooveline Pt. 2","ScHoolboy Q","Oxymoron (Deluxe)"
"180","Fuck LA","ScHoolboy Q","Oxymoron (Deluxe)"
"187","make up","Ariana Grande","thank u, next"
"192","break up with your girlfriend, i'm bored","Ariana Grande","thank u, next"
"196","Into You","Ariana Grande","Dangerous Woman"
"197","Side To Side","Ariana Grande","Dangerous Woman"
"211","Another Sad Love Song","Khalid","American Teen"
"212","Saved","Khalid","American Teen"
"215","Let's Go","Khalid","American Teen"
"216","Hopeless","Khalid","American Teen"
"219","Therapy","Khalid","American Teen"
"242","Blah Blah Blah (feat. 3OH!3)","Kesha","Animal (Expanded Edition)"
"249","Boots & Boys","Kesha","Animal (Expanded Edition)"
"252","c u next tuesday","Kesha","Animal (Expanded Edition)"
"259","Runaway Love","Justin Bieber","My World 2.0"
"267","Our First Time","Bruno Mars","Doo-Wops & Hooligans"
"268","Runaway Baby","Bruno Mars","Doo-Wops & Hooligans"
"269","The Lazy Song","Bruno Mars","Doo-Wops & Hooligans"
"270","Marry You","Bruno Mars","Doo-Wops & Hooligans"
"293","Right Or Wrong","George Strait","Strait Out Of The Box"
"441","Killing In The Name","Rage Against The Machine","Rage Against The Machine - XX (20th Anniversary Special Edition)"
"447","Fistful Of Steel","Rage Against The Machine","Rage Against The Machine - XX (20th Anniversary Special Edition)"
"452","Vietnow","Rage Against The Machine","Evil Empire"
"488","Strong Ones","Armin van Buuren","Embrace"
"529","Forever Tonight","Galantis","Pharmacy"
"537","Peanut Butter Jelly","Galantis","Pharmacy"
